"","palabra","media_agrado","media_activacion","media_imaginabilidad"
"780","decisión",0.4,0.8,0.2
"781","preocupar",0,0.6,0.6
"782","debutar",0.8,1,0.2
"783","contestar",0.6,1,0.8
"784","mencionar",0.4,0.6,0.6
"785","sonar",0.4,0.8,0.8
"786","quitar",-0.571,0.857,1
"787","altura",0.2,-0.2,1
"788","huir",-0.8,1,1
"789","bosque",1,0.2,1
"790","solo",0,-0.4,0.8
"791","imperio",0.4,0,0.6
"792","ordenar",0,1,1
"793","residir",0,0.6,0.8
"794","selección",0,0.4,0.8
"795","fácil",0,-0.2,0.8
"796","ministro",-0.2,0,0.8
"797","dueño",0.2,0.6,1
"798","tropa",0,0.6,1
"799","propiedad",0.6,0,1
"800","ruta",0.4,0.2,1
"801","defensa",0.6,0.2,0.8
"802","actor",0.4,0.8,1
"803","reunir",0.6,1,1
