"","word","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"266","don",2.8,2.2,2.6,0.4472,0.8367,0.5477,"sustantivo"
"267","planta",3,2.2,3,0,0.4472,0,"sustantivo"
"268","acuerdo",2.4,3,2.6,0.5477,0,0.5477,"sustantivo"
"269","joven",2.2,2.2,2.6,0.4472,0.4472,0.5477,"sustantivo"
"270","premio",2.8,2.4,2.8,0.4472,0.8944,0.4472,"sustantivo"
"271","viaje",2.6,2.8,2.8,0.5477,0.4472,0.4472,"sustantivo"
"272","modo",2,1.8,1.6,0,0.4472,0.5477,"sustantivo"
"273","sonido",2.6,2.4,3,0.5477,0.8944,0,"sustantivo"
"274","compañero",2.6,2.2,2.8,0.5477,0.4472,0.4472,"sustantivo"
"275","desarrollo",2.6,3,2.8,0.5477,0,0.4472,"sustantivo"
"276","menor",2,2,2.6,0,0,0.5477,"adjetivo"
"277","construcción",2.4,3,2.6,0.5477,0,0.5477,"sustantivo"
"278","animal",2.8,2.6,2.8,0.4472,0.5477,0.4472,"sustantivo"
"279","popular",2,2.2,2.8,0,0.4472,0.4472,"adjetivo"
"280","rojo",2.6,2,2.8,0.5477,0.7071,0.4472,"adjetivo"
"281","cargo",2.2,2.4,2.8,0.4472,0.5477,0.4472,"sustantivo"
"282","fútbol",1.8,3,3,0.4472,0,0,"sustantivo"
"283","joven",2.2,2.4,3,0.4472,0.5477,0,"adjetivo"
"284","valor",2.4,2.2,2.6,0.5477,0.4472,0.5477,"sustantivo"
"285","medio",2,2,2.2,0,0,1.0954,"adjetivo"
"286","proceso",2,2.8,2.6,0,0.4472,0.5477,"sustantivo"
"287","estilo",2.4,2.4,2.4,0.5477,0.5477,0.8944,"sustantivo"
"288","presencia",2.2,2.6,2.4,0.4472,0.5477,0.8944,"sustantivo"
"289","común",2,2,2,0,0,1,"adjetivo"
"290","ocasión",2.4,2.2,2.4,0.5477,0.4472,0.8944,"sustantivo"
"291","letra",2,1.8,2.8,0,0.4472,0.4472,"sustantivo"
"292","lluvia",2.6,2.8,3,0.5477,0.4472,0,"sustantivo"
